id,complaint_text,category,sentiment,rating,confidence,created_at
34,"incredibly helpful team they even followed up via email to make sure everything was working","Customer Service Issues",Best,5,0.85,"2026-02-03 15:27:51"
35,"support is slow to respond but they eventually solved the issue just be patient","Customer Service Issues",Average,3,0.51,"2026-02-03 15:27:51"
36,"rude the agent basically told me it was my fault and refused to listen to the explanation","Customer Service Issues",Bad,1,0.88,"2026-02-03 15:27:51"
37,"fastest resolution ever i used the text support and was done in minutes","Customer Service Issues",Best,5,0.82,"2026-02-03 15:27:52"
38,"they promised a callback within hours its been three days and i havent heard a peep","Customer Service Issues",Bad,1,0.77,"2026-02-03 15:27:52"
39,"the app crashes every time i try to filter by size its completely unusable on android","Technical / App / Website Issues",Bad,1,0.86,"2026-02-03 15:27:52"
40,"love the new dark mode on the website much easier on the eyes during late night shopping","Technical / App / Website Issues",Best,5,0.79,"2026-02-03 15:27:52"
41,"the search bar is a bit laggy it takes a few seconds to populate results but it works","Technical / App / Website Issues",Average,3,0.48,"2026-02-03 15:27:52"
42,"cannot reset my password the forgot password link leads to a error page","Technical / App / Website Issues",Bad,1,0.89,"2026-02-03 15:27:52"
43,"super intuitive interface i found exactly what i needed without having to dig through menus","Technical / App / Website Issues",Best,5,0.84,"2026-02-03 15:27:52"
44,"website is okay on desktop but the mobile version is a formatting nightmare text overlaps images","Technical / App / Website Issues",Fair,2,0.7,"2026-02-03 15:27:52"
45,"the update fixed the login bug but now the notifications are not coming through properly","Technical / App / Website Issues",Average,3,0.59,"2026-02-03 15:27:52"
46,"great user experience ux design very clean and responsive","Technical / App / Website Issues",Good,4,0.81,"2026-02-03 15:27:52"
47,"i really appreciate the companys commitment to sustainability it makes me want to buy more","Other / General Feedback",Best,5,0.83,"2026-02-03 15:27:52"
48,"way too many marketing emails i signed up for one thing and now my inbox is flooded","Other / General Feedback",Fair,2,0.76,"2026-02-03 15:27:52"
49,"its a decent brand nothing spectacular but reliable enough for basics","Other / General Feedback",Average,3,0.5,"2026-02-03 15:27:52"
50,"disappointed with the lack of variety in the new collection feels very repetitive","Other / General Feedback",Fair,2,0.68,"2026-02-03 15:27:52"
51,"the loyalty program is actually worth it ive already earned a free item","Other / General Feedback",Good,4,0.85,"2026-02-03 15:27:52"
52,"i wish you had a physical store nearby so i could see items in person","Other / General Feedback",Average,3,0.44,"2026-02-03 15:27:52"
104,"the driver refused to carry the box up the stairs i live on the second floor and am disabled","Delivery Issues",Bad,1,0.89,"2026-02-03 15:40:54"
105,"lightning fast i ordered at noon and it was here by dinner time unbelievable","Delivery Issues",Best,5,0.88,"2026-02-03 15:40:54"
106,"the tracking map showed the truck in my neighborhood for hours but it never stopped","Delivery Issues",Fair,2,0.68,"2026-02-03 15:40:54"
107,"box was wet on the bottom luckily the item inside was wrapped in plastic so it survived","Delivery Issues",Average,3,0.55,"2026-02-03 15:40:54"
108,"they delivered to the wrong house my neighbor had to bring it over to me","Delivery Issues",Bad,1,0.82,"2026-02-03 15:40:54"
109,"standard delivery timeframe no issues but nothing special to report","Delivery Issues",Average,3,0.5,"2026-02-03 15:40:54"
110,"i paid extra for gift wrapping and it arrived in a plain brown box refund please","Delivery Issues",Fair,2,0.71,"2026-02-03 15:40:54"
111,"the courier was so polite and waited for me to answer the door great service","Delivery Issues",Good,4,0.83,"2026-02-03 15:40:54"
112,"package was smashed it looked like someone stepped on it","Delivery Issues",Bad,1,0.9,"2026-02-03 15:40:54"
113,"i was charged twice for the same subscription please reverse the second transaction immediately","Billing & Payment Issues",Bad,1,0.89,"2026-02-03 15:40:54"
114,"the new pay later feature is fantastic makes managing my budget much easier","Billing & Payment Issues",Best,5,0.85,"2026-02-03 15:40:54"
115,"i dont understand why there is a foreign transaction fee i thought you were a local company","Billing & Payment Issues",Fair,2,0.66,"2026-02-03 15:40:54"
116,"refund took business days a bit slower than id like but it did arrive","Billing & Payment Issues",Average,3,0.57,"2026-02-03 15:40:54"
117,"checkout page froze after i entered my card details i was scared id be charged without an order","Billing & Payment Issues",Bad,1,0.84,"2026-02-03 15:40:54"
118,"pricing is competitive i compared it with three other sites and you were the cheapest","Billing & Payment Issues",Good,4,0.79,"2026-02-03 15:40:54"
119,"why cant i remove my credit card info from the account there is no delete button","Billing & Payment Issues",Fair,2,0.72,"2026-02-03 15:40:54"
120,"invoice downloaded perfectly clear layout and easy to understand for my tax filing","Billing & Payment Issues",Best,5,0.81,"2026-02-03 15:40:54"
121,"the zippers on this backpack are very cheap one jammed on the first day","Product Quality Issues",Bad,1,0.86,"2026-02-03 15:40:54"
122,"this is hands down the most comfortable mattress i have ever slept on","Product Quality Issues",Best,5,0.89,"2026-02-03 15:40:54"
123,"it works but the motor is louder than i expected okay for the garage not the house","Product Quality Issues",Average,3,0.53,"2026-02-03 15:40:54"
124,"the material is thin and seethrough not at all like the picture","Product Quality Issues",Fair,2,0.75,"2026-02-03 15:40:54"
125,"absolute junk it broke into pieces when i dropped it on a carpeted floor","Product Quality Issues",Bad,1,0.88,"2026-02-03 15:40:54"
126,"beautiful finish and sturdy construction worth every penny","Product Quality Issues",Good,4,0.82,"2026-02-03 15:40:54"
127,"the screen has a dead pixel in the corner its small but annoying for a new device","Product Quality Issues",Fair,2,0.69,"2026-02-03 15:40:55"
128,"decent quality for a budget item you get what you pay for","Product Quality Issues",Average,3,0.51,"2026-02-03 15:40:55"
129,"customer service hung up on me while i was explaining the problem so rude","Customer Service Issues",Bad,1,0.9,"2026-02-03 15:40:55"
130,"the support team is worldclass they solved a problem i thought was impossible","Customer Service Issues",Best,5,0.87,"2026-02-03 15:40:55"
131,"i waited minutes for a live chat agent response time needs improvement","Customer Service Issues",Average,3,0.58,"2026-02-03 15:40:55"
132,"the agent gave me the wrong return address now my package is lost in the mail","Customer Service Issues",Bad,1,0.85,"2026-02-03 15:40:55"
133,"friendly staff although they had to put me on hold a few times to check policies","Customer Service Issues",Good,4,0.65,"2026-02-03 15:40:55"
134,"automated phone system is a nightmare i just want to speak to a person","Customer Service Issues",Bad,1,0.83,"2026-02-03 15:40:55"
135,"they refused my warranty claim because i didnt have the original box very strict","Customer Service Issues",Fair,2,0.7,"2026-02-03 15:40:55"
136,"got a reply within an hour on a sunday impressive availability","Customer Service Issues",Best,5,0.84,"2026-02-03 15:40:55"
137,"the website keeps crashing when i try to open the my orders page","Technical / App / Website Issues",Bad,1,0.89,"2026-02-03 15:40:55"
138,"the mobile app is so smooth i love the oneclick reorder feature","Technical / App / Website Issues",Best,5,0.86,"2026-02-03 15:40:55"
139,"images arent loading on the product page i cant see what im buying","Technical / App / Website Issues",Bad,1,0.81,"2026-02-03 15:40:55"
140,"search function is okay but the sorting options are a bit limited","Technical / App / Website Issues",Average,3,0.54,"2026-02-03 15:40:55"
141,"i keep getting logged out every minutes please fix the session timeout","Technical / App / Website Issues",Fair,2,0.73,"2026-02-03 15:40:55"
142,"very clean layout i found the specs sheet immediately","Technical / App / Website Issues",Good,4,0.78,"2026-02-03 15:40:55"
143,"the font color is too light against the white background hard to read","Technical / App / Website Issues",Fair,2,0.62,"2026-02-03 15:40:55"
144,"links in the footer are broken they lead to pages","Technical / App / Website Issues",Bad,1,0.85,"2026-02-03 15:40:55"
145,"i really like the new ecofriendly initiative good job reducing plastic","Other / General Feedback",Best,5,0.83,"2026-02-03 15:40:55"
146,"stop spamming my phone with sms offers i never consented to this","Other / General Feedback",Bad,1,0.88,"2026-02-03 15:40:55"
147,"its an average brand reliable enough but nothing exciting","Other / General Feedback",Average,3,0.49,"2026-02-03 15:40:55"
148,"disappointed that you removed the wishlist feature i used that all the time","Other / General Feedback",Fair,2,0.67,"2026-02-03 15:40:55"
149,"great community vibe on your social media love the engagement","Other / General Feedback",Good,4,0.76,"2026-02-03 15:40:55"
150,"inventory levels seem low lately lots of out of stock labels","Other / General Feedback",Average,3,0.56,"2026-02-03 15:40:55"
151,"i wish you offered international shipping to canada","Other / General Feedback",Average,3,0.45,"2026-02-03 15:40:55"
152,"the rebranding is ugly the old logo was much more professional","Other / General Feedback",Fair,2,0.64,"2026-02-03 15:40:55"
153,"highly recommended i tell all my colleagues to shop here","Other / General Feedback",Best,5,0.89,"2026-02-03 15:40:55"
